,M5.0,phi5.0,err5.0,M6.0,phi6.0,err6.0,M7.0,phi7.0,err7.0,M8.0,phi8.0,err8.0,M9.0,phi9.0,err9.0,M10.0,phi10.0,err10.0
0,-22.786142309855535,4e-06,2.82842712474619e-06,-22.761781090671015,2e-06,2e-06,-21.653975807394193,1.2e-05,4.898979485566356e-06,-21.387763794658635,8e-06,4e-06,-21.663648947363704,2e-06,2e-06,-21.063036026095624,2e-06,2e-06
1,-22.286142309855535,8e-06,4e-06,-22.261781090671015,1e-05,4.47213595499958e-06,-21.153975807394193,5.4e-05,1.0392304845413264e-05,-20.887763794658635,2.2e-05,6.6332495807108e-06,-21.163648947363704,6e-06,3.4641016151377547e-06,-20.063036026095624,1.2e-05,4.898979485566356e-06
2,-21.786142309855535,7.6e-05,1.2328828005937953e-05,-21.761781090671015,2e-05,6.324555320336759e-06,-20.653975807394193,9.6e-05,1.3856406460551019e-05,-20.387763794658635,7.2e-05,1.2e-05,-20.663648947363704,1.2e-05,4.898979485566356e-06,-19.563036026095624,4.4e-05,9.38083151964686e-06
3,-21.286142309855535,0.000144,1.697056274847714e-05,-21.261781090671015,9.6e-05,1.3856406460551019e-05,-20.153975807394193,0.000182,1.9078784028338914e-05,-19.887763794658635,0.000108,1.469693845669907e-05,-20.163648947363704,5.8e-05,1.0770329614269008e-05,-19.063036026095624,6.8e-05,1.1661903789690601e-05
4,-20.786142309855535,0.000378,2.749545416973504e-05,-20.761781090671015,0.000214,2.06881608655772e-05,-19.653975807394193,0.000314,2.5059928172283337e-05,-19.387763794658635,0.000226,2.12602916254693e-05,-19.663648947363704,8.8e-05,1.32664991614216e-05,-18.563036026095624,0.000312,2.4979991993593595e-05
5,-20.286142309855535,0.000584,3.417601498127012e-05,-20.261781090671015,0.000364,2.6981475126464083e-05,-19.153975807394193,0.000606,3.481379037105842e-05,-18.887763794658635,0.000536,3.27414110874898e-05,-19.163648947363704,0.000196,1.979898987322333e-05,-18.063036026095624,0.000966,4.395452195167182e-05
6,-19.786142309855535,0.000964,4.39089968002003e-05,-19.761781090671015,0.00058,3.40587727318528e-05,-18.653975807394193,0.001378,5.249761899362675e-05,-18.387763794658635,0.001552,5.571355310873648e-05,-18.663648947363704,0.000684,3.698648401781386e-05,0.0,0.0,0.0
7,-19.286142309855535,0.001534,5.5389529696504914e-05,-19.261781090671015,0.00091,4.266145801540308e-05,-18.153975807394193,0.003058,7.82048591840686e-05,-17.887763794658635,0.00339,8.23407554009556e-05,-18.163648947363704,0.00211,6.496152707564686e-05,0.0,0.0,0.0
8,-18.786142309855535,0.002442,6.98856208386246e-05,-18.761781090671015,0.001942,6.232174580353154e-05,-17.653975807394193,0.005374,0.00010367256146155549,0.0,0.0,0.0,-17.663648947363704,0.003436,8.289752710425082e-05,0.0,0.0,0.0
9,-18.286142309855535,0.004334,9.310209449845906e-05,-18.261781090671015,0.003994,8.937561188601732e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-17.786142309855535,0.007592,0.0001232233744059949,-17.761781090671015,0.00706,0.00011882760622010358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-17.286142309855535,0.010958,0.00014804053498957643,-17.261781090671015,0.009666,0.0001390395627150776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
